"source","target","state","countyname","n1"
"12086","12011","FL","Broward County","16798"
"12086","12099","FL","Palm Beach County","2433"
"12086","12095","FL","Orange County","1812"
"12086","12057","FL","Hillsborough County","1576"
"12086","12071","FL","Lee County","1372"
"12086","48201","TX","Harris County","893"
"12086","06037","CA","Los Angeles County","715"
"12086","36061","NY","New York County","654"
"12086","12031","FL","Duval County","639"
"12086","12021","FL","Collier County","565"
"12086","12097","FL","Osceola County","520"
"12086","12105","FL","Polk County","504"
"12086","12111","FL","St. Lucie County","491"
"12086","32003","NV","Clark County","466"
"12086","12087","FL","Monroe County","461"
"12086","36047","NY","Kings County","453"
"12086","17031","IL","Cook County","412"
"12086","12103","FL","Pinellas County","396"
"12086","13121","GA","Fulton County","377"
"12086","12117","FL","Seminole County","376"
"12086","12009","FL","Brevard County","361"
"12086","12001","FL","Alachua County","340"
"12086","36081","NY","Queens County","319"
"12086","21111","KY","Jefferson County","314"
"12086","13135","GA","Gwinnett County","302"
"12086","37119","NC","Mecklenburg County","299"
"12086","48113","TX","Dallas County","297"
"12086","48453","TX","Travis County","294"
"12086","12127","FL","Volusia County","282"
"12086","12083","FL","Marion County","272"
"12086","04013","AZ","Maricopa County","260"
"12086","12069","FL","Lake County","258"
"12086","06073","CA","San Diego County","248"
"12086","13089","GA","DeKalb County","245"
"12086","12073","FL","Leon County","230"
"12086","12101","FL","Pasco County","229"
"12086","11001","DC","District of Columbia","227"
"12086","37183","NC","Wake County","226"
"12086","12115","FL","Sarasota County","219"
"12086","12081","FL","Manatee County","215"
"12086","13067","GA","Cobb County","208"
"12086","34017","NJ","Hudson County","192"
"12086","48439","TX","Tarrant County","185"
"12086","53033","WA","King County","184"
"12086","08031","CO","Denver County","179"
"12086","51059","VA","Fairfax County","176"
"12086","42101","PA","Philadelphia County","175"
"12086","36005","NY","Bronx County","171"
"12086","25025","MA","Suffolk County","166"
"12086","12055","FL","Highlands County","163"
"12086","24031","MD","Montgomery County","156"
"12086","12061","FL","Indian River County","150"
"12086","48029","TX","Bexar County","144"
"12086","06075","CA","San Francisco County","141"
"12086","13063","GA","Clayton County","141"
"12086","25017","MA","Middlesex County","136"
"12086","47037","TN","Davidson County","134"
"12086","08041","CO","El Paso County","133"
"12086","48135","TX","Ector County","127"
"12086","06059","CA","Orange County","119"
"12086","06085","CA","Santa Clara County","114"
"12086","12085","FL","Martin County","111"
"12086","36059","NY","Nassau County","110"
"12086","12015","FL","Charlotte County","109"
"12086","12109","FL","St. Johns County","107"
"12086","12051","FL","Hendry County","105"
"12086","34013","NJ","Essex County","105"
"12086","36119","NY","Westchester County","103"
"12086","06001","CA","Alameda County","102"
"12086","36103","NY","Suffolk County","102"
"12086","34003","NJ","Bergen County","99"
"12086","08005","CO","Arapahoe County","98"
"12086","48085","TX","Collin County","98"
"12086","12019","FL","Clay County","95"
"12086","18097","IN","Marion County","93"
"12086","48157","TX","Fort Bend County","91"
"12086","39049","OH","Franklin County","89"
"12086","24033","MD","Prince George's County","88"
"12086","45045","SC","Greenville County","83"
"12086","27053","MN","Hennepin County","82"
"12086","51013","VA","Arlington County","80"
"12086","06081","CA","San Mateo County","79"
"12086","12053","FL","Hernando County","79"
"12086","48491","TX","Williamson County","79"
"12086","13051","GA","Chatham County","78"
"12086","48121","TX","Denton County","78"
"12086","47157","TN","Shelby County","77"
"12086","12035","FL","Flagler County","76"
"12086","09001","CT","Fairfield County","73"
"12086","12033","FL","Escambia County","73"
"12086","13151","GA","Henry County","73"
"12086","37051","NC","Cumberland County","73"
"12086","37021","NC","Buncombe County","69"
"12086","12091","FL","Okaloosa County","67"
"12086","34039","NJ","Union County","67"
"12086","42003","PA","Allegheny County","65"
"12086","51107","VA","Loudoun County","65"
"12086","25009","MA","Essex County","64"
"12086","31079","NE","Hall County","64"
"12086","26163","MI","Wayne County","63"
"12086","37081","NC","Guilford County","63"
"12086","48329","TX","Midland County","63"
"12086","49035","UT","Salt Lake County","63"
"12086","34023","NJ","Middlesex County","62"
"12086","39035","OH","Cuyahoga County","61"
"12086","15003","HI","Honolulu County","60"
"12086","44007","RI","Providence County","59"
"12086","22071","LA","Orleans Parish","58"
"12086","25021","MA","Norfolk County","58"
"12086","48141","TX","El Paso County","57"
"12086","37063","NC","Durham County","56"
"12086","51153","VA","Prince William County","56"
"12086","48027","TX","Bell County","55"
"12086","06065","CA","Riverside County","54"
"12086","12017","FL","Citrus County","54"
"12086","24510","MD","Baltimore city","54"
"12086","47093","TN","Knox County","54"
"12086","06013","CA","Contra Costa County","53"
"12086","13185","GA","Lowndes County","53"
"12086","29095","MO","Jackson County","53"
"12086","22051","LA","Jefferson Parish","52"
"12086","34031","NJ","Passaic County","52"
"12086","42091","PA","Montgomery County","52"
"12086","51810","VA","Virginia Beach city","52"
"12086","06071","CA","San Bernardino County","51"
