"source","target","state","countyname","n1"
"12086","12086","FL","Miami-Dade County Non-migrants",1030119
"12086","12011","FL","Broward County",16798
"12086","12099","FL","Palm Beach County",2433
"12086","12095","FL","Orange County",1812
"12086","12057","FL","Hillsborough County",1576
"12086","12071","FL","Lee County",1372
"12086","48201","TX","Harris County",893
"12086","06037","CA","Los Angeles County",715
"12086","36061","NY","New York County",654
"12086","12031","FL","Duval County",639
"12086","12021","FL","Collier County",565
"12086","12097","FL","Osceola County",520
"12086","12105","FL","Polk County",504
"12086","12111","FL","St. Lucie County",491
"12086","32003","NV","Clark County",466
"12086","12087","FL","Monroe County",461
"12086","36047","NY","Kings County",453
"12086","17031","IL","Cook County",412
"12086","12103","FL","Pinellas County",396
"12086","13121","GA","Fulton County",377
"12086","12117","FL","Seminole County",376
"12086","12009","FL","Brevard County",361
"12086","12001","FL","Alachua County",340
"12086","36081","NY","Queens County",319
"12086","21111","KY","Jefferson County",314
"12086","13135","GA","Gwinnett County",302
"12086","37119","NC","Mecklenburg County",299
"12086","48113","TX","Dallas County",297
"12086","48453","TX","Travis County",294
"12086","12127","FL","Volusia County",282
"12086","12083","FL","Marion County",272
"12086","04013","AZ","Maricopa County",260
"12086","12069","FL","Lake County",258
"12086","06073","CA","San Diego County",248
"12086","13089","GA","DeKalb County",245
"12086","12073","FL","Leon County",230
"12086","12101","FL","Pasco County",229
"12086","11001","DC","District of Columbia",227
"12086","37183","NC","Wake County",226
"12086","12115","FL","Sarasota County",219
"12086","12081","FL","Manatee County",215
"12086","13067","GA","Cobb County",208
"12086","34017","NJ","Hudson County",192
"12086","48439","TX","Tarrant County",185
"12086","53033","WA","King County",184
"12086","08031","CO","Denver County",179
"12086","51059","VA","Fairfax County",176
"12086","42101","PA","Philadelphia County",175
"12086","36005","NY","Bronx County",171
"12086","25025","MA","Suffolk County",166
"12086","12055","FL","Highlands County",163
"12086","24031","MD","Montgomery County",156
"12086","12061","FL","Indian River County",150
"12086","48029","TX","Bexar County",144
"12086","06075","CA","San Francisco County",141
"12086","13063","GA","Clayton County",141
"12086","25017","MA","Middlesex County",136
"12086","47037","TN","Davidson County",134
"12086","08041","CO","El Paso County",133
"12086","48135","TX","Ector County",127
"12086","06059","CA","Orange County",119
"12086","06085","CA","Santa Clara County",114
"12086","12085","FL","Martin County",111
"12086","36059","NY","Nassau County",110
"12086","12015","FL","Charlotte County",109
"12086","12109","FL","St. Johns County",107
"12086","12051","FL","Hendry County",105
"12086","34013","NJ","Essex County",105
"12086","36119","NY","Westchester County",103
"12086","06001","CA","Alameda County",102
"12086","36103","NY","Suffolk County",102
