"ship","flag","year","line","from","to","heading","nm","duration","speed","n"
"Sirius","GBR",1838,"BritAm","Queenstown","Sandy Hook","west",3583,18.5986111111111,8.03,1
"Great Western","GBR",1838,"GW","Avonmouth","New York","west",3220,15.5,8.66,1
"Great Western","GBR",1838,"GW","Avonmouth","New York","west",3140,14.6666666666667,8.92,1
"Great Western","GBR",1839,"GW","Avonmouth","New York","west",3086,13.5,9.52,1
"Columbia","GBR",1841,"Cunard","Liverpool","Halifax","west",2534,10.7916666666667,9.78,1
"Great Western","GBR",1843,"GW","Liverpool","New York","west",3068,12.75,10.03,1
"Cambria","GBR",1845,"Cunard","Liverpool","Halifax","west",2534,9.85416666666667,10.71,1
"America","GBR",1848,"Cunard","Liverpool","Halifax","west",2534,9.01111111111111,11.71,1
"Europa","GBR",1848,"Cunard","Liverpool","Halifax","west",2534,8.95833333333333,11.79,1
"Asia","GBR",1850,"Cunard","Liverpool","Halifax","west",2534,8.61805555555556,12.25,1
"Pacific","USA",1850,"Collins","Liverpool","New York","west",3050,10.1979166666667,12.46,1
"Baltic","USA",1851,"Collins","Liverpool","New York","west",3039,9.80972222222222,12.91,1
"Baltic","USA",1854,"Collins","Liverpool","New York","west",3037,9.70277777777778,13.04,1
"Persia","GBR",1856,"Cunard","Liverpool","Sandy Hook","west",3045,9.67777777777778,13.11,1
"Scotia","GBR",1863,"Cunard","Queenstown","New York","west",2820,8.125,14.46,1
"Adriatic","GBR",1872,"W.Star","Queenstown","Sandy Hook","west",2778,7.97013888888889,14.53,1
"Germanic","GBR",1875,"W.Star","Queenstown","Sandy Hook","west",2800,7.96319444444444,14.65,1
"City of Berlin","GBR",1875,"Inman","Queenstown","Sandy Bank","west",2829,7.75138888888889,15.21,1
"Britannic","GBR",1876,"W.Star","Queenstown","Sandy Hook","west",2795,7.54930555555556,15.43,1
"Germanic","GBR",1877,"W.Star","Queenstown","Sandy Hook","west",2830,7.48402777777778,15.76,1
"Alaska","GBR",1882,"Guion","Queenstown","Sandy Hook","west",2802,7.26388888888889,16.07,1
"Alaska","GBR",1882,"Guion","Queenstown","Sandy Hook","west",2871,7.175,16.67,1
"Alaska","GBR",1882,"Guion","Queenstown","Sandy Hook","west",2886,7.08194444444444,16.98,1
"Alaska","GBR",1883,"Guion","Queenstown","Sandy Hook","west",2844,6.99166666666667,17.05,1
"Oregon","GBR",1884,"Guion","Queenstown","Sandy Hook","west",2861,6.42361111111111,18.56,1
"Etruria","GBR",1885,"Cunard","Queenstown","Sandy Hook","west",2801,6.22986111111111,18.73,1
"Umbria","GBR",1887,"Cunard","Queenstown","Sandy Hook","west",2848,6.175,19.22,1
"Etruria","GBR",1888,"Cunard","Queenstown","Sandy Hook","west",2854,6.07986111111111,19.56,1
"City of Paris","GBR",1889,"Inman","Queenstown","Sandy Hook","west",2855,5.96319444444444,19.95,1
